subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp
007	09	1	108	kitchen	SHINEd_sun_aymvwlarqodbwuoc.tif	none	NaN	13419.727976	13419.986227	13421.974413	12-Nov-2024 13:30:31	13413.695214
007	09	2	78	kitchen	SHINEd_sun_adgqasybjyktddhj.tif	none	NaN	13421.986639	13422.244549	13424.232605	12-Nov-2024 13:30:31	13413.695214
007	09	3	113	livingroom	SHINEd_livingroom_004.tif	5	13424.848048	13424.244361	13424.503149	13426.490724	12-Nov-2024 13:30:31	13413.695214
007	09	4	82	kitchen	SHINEd_sun_aenotlpyftoioydp.tif	none	NaN	13426.503307	13426.761876	13428.749727	12-Nov-2024 13:30:31	13413.695214
007	09	5	66	kitchen	SHINEd_sun_aapllqyqlykszopd.tif	none	NaN	13428.761597	13429.019823	13431.007516	12-Nov-2024 13:30:31	13413.695214
007	09	6	97	kitchen	SHINEd_sun_ajkqhtgcbgpcwrwn.tif	none	NaN	13431.020019	13431.277957	13433.266259	12-Nov-2024 13:30:31	13413.695214
007	09	7	91	kitchen	SHINEd_sun_ahljzhgcdpomplvg.tif	none	NaN	13433.278084	13433.536308	13435.524379	12-Nov-2024 13:30:31	13413.695214
007	09	8	100	kitchen	SHINEd_sun_amjjdeyrggfqgmom.tif	none	NaN	13435.536098	13435.794450	13437.782515	12-Nov-2024 13:30:31	13413.695214
007	09	9	69	kitchen	SHINEd_sun_abdenxonkemggwsq.tif	none	NaN	13437.794770	13438.052684	13440.040835	12-Nov-2024 13:30:31	13413.695214
007	09	10	67	kitchen	SHINEd_sun_aarfiyshqohlwkmo.tif	none	NaN	13440.053143	13440.311922	13442.299359	12-Nov-2024 13:30:31	13413.695214
007	09	11	71	kitchen	SHINEd_sun_abftihopvusyfakt.tif	none	NaN	13442.314098	13442.570449	13444.560427	12-Nov-2024 13:30:31	13413.695214
007	09	12	141	livingroom	SHINEd_livingroom_048.tif	5	13445.178090	13444.574878	13444.840017	13446.821489	12-Nov-2024 13:30:31	13413.695214
007	09	13	106	kitchen	SHINEd_sun_awcpdzzznmweyyhv.tif	none	NaN	13446.838950	13447.097225	13449.085562	12-Nov-2024 13:30:31	13413.695214
007	09	14	63	kitchen	SHINEd_labelme_rykdqxenmhulbdn.tif	none	NaN	13449.095443	13449.355244	13451.341374	12-Nov-2024 13:30:31	13413.695214
007	09	15	74	kitchen	SHINEd_sun_acfmftudsenhrfhy.tif	none	NaN	13451.354278	13451.613771	13453.600831	12-Nov-2024 13:30:31	13413.695214
007	09	16	83	kitchen	SHINEd_sun_aeqdocilnnpuvuhx.tif	none	NaN	13453.613421	13453.871622	13455.859348	12-Nov-2024 13:30:31	13413.695214
007	09	17	73	kitchen	SHINEd_sun_abrcnpqqhmjwekyf.tif	none	NaN	13455.872782	13456.129793	13458.118700	12-Nov-2024 13:30:31	13413.695214
007	09	18	95	kitchen	SHINEd_sun_aixorpehvfykdynp.tif	none	NaN	13458.129765	13458.388383	13460.375966	12-Nov-2024 13:30:31	13413.695214
007	09	19	86	kitchen	SHINEd_sun_aggjlwcdjsjcaemh.tif	none	NaN	13460.387917	13460.646774	13462.634047	12-Nov-2024 13:30:31	13413.695214
007	09	20	76	kitchen	SHINEd_sun_acwjdupvyjsugpay.tif	none	NaN	13462.647142	13462.904857	13464.893113	12-Nov-2024 13:30:31	13413.695214
007	09	21	116	livingroom	SHINEd_livingroom_007.tif	none	NaN	13464.904100	13465.163567	13467.150250	12-Nov-2024 13:30:31	13413.695214
007	09	22	101	kitchen	SHINEd_sun_aqeaevwwwjoqhzvl.tif	5	13467.886727	13467.163311	13467.422471	13469.409634	12-Nov-2024 13:30:31	13413.695214
007	09	23	90	kitchen	SHINEd_sun_ahdycvpopffkzzsu.tif	none	NaN	13469.421924	13469.680499	13471.668477	12-Nov-2024 13:30:31	13413.695214
007	09	24	70	kitchen	SHINEd_sun_abdxkyyxwfskuaqb.tif	none	NaN	13471.678949	13471.936638	13473.925363	12-Nov-2024 13:30:31	13413.695214
007	09	25	89	kitchen	SHINEd_sun_agzzivivdpnawacl.tif	none	NaN	13473.936387	13474.194583	13476.182628	12-Nov-2024 13:30:31	13413.695214
007	09	26	92	kitchen	SHINEd_sun_ahpczsiumwwocjkv.tif	none	NaN	13476.194549	13476.454762	13478.440963	12-Nov-2024 13:30:31	13413.695214
007	09	27	79	kitchen	SHINEd_sun_admlmbcdswaszruo.tif	none	NaN	13478.452314	13478.711038	13480.698315	12-Nov-2024 13:30:31	13413.695214
007	09	28	107	kitchen	SHINEd_sun_axyyrmzcupyhlivc.tif	none	NaN	13480.711909	13480.969615	13482.958437	12-Nov-2024 13:30:31	13413.695214
007	09	29	93	kitchen	SHINEd_sun_ahspylgoovwmwvgk.tif	none	NaN	13482.969255	13483.227660	13485.215943	12-Nov-2024 13:30:31	13413.695214
007	09	30	160	livingroom	SHINEd_livingroom_62.tif	5	13485.752749	13485.228077	13485.486326	13487.474165	12-Nov-2024 13:30:31	13413.695214
007	09	31	103	kitchen	SHINEd_sun_aunzlwrbjumxhwdj.tif	none	NaN	13487.485883	13487.744182	13489.731918	12-Nov-2024 13:30:31	13413.695214
007	09	32	62	kitchen	SHINEd_labelme_kxvouciolcpqplr.tif	none	NaN	13489.744551	13490.003395	13491.990667	12-Nov-2024 13:30:31	13413.695214
007	09	33	118	livingroom	SHINEd_livingroom_010.tif	5	13492.579751	13492.002768	13492.260953	13494.249391	12-Nov-2024 13:30:31	13413.695214
007	09	34	61	kitchen	SHINEd_labelme_brsyyvweiuaazfr.tif	none	NaN	13494.260994	13494.519735	13496.507380	12-Nov-2024 13:30:31	13413.695214
