, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session7_pvalsTh,0.050000, 0.049997, NaN, 0.000000, 0.010000, 0.000306, NaN, 0.000000, 0.001000, NaN, NaN, 0.000000
Session7_Th,0.023707, 0.023708, NaN, 0.116711, 0.036799, 0.063140, NaN, 0.121605, 0.054367, NaN, NaN, 0.123553
