, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session1_pvalsTh,0.050000, 0.049999, 0.000651, 0.000000, 0.010000, 0.003024, 0.000019, 0.000000, 0.001000, 0.000025, 0.000000, 0.000000
Session1_Th,0.022433, 0.022433, 0.054079, 0.105510, 0.034572, 0.043144, 0.080336, 0.150787, 0.051052, 0.078062, 0.105783, 0.180271
