, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session2_pvalsTh,0.050000, 0.049986, 0.000497, 0.000000, 0.010000, 0.001824, 0.000037, 0.000000, 0.001000, 0.000042, 0.000001, 0.000000
Session2_Th,0.022896, 0.022898, 0.057315, 0.116016, 0.035410, 0.047896, 0.076634, 0.145540, 0.052289, 0.075721, 0.111678, 0.165067
