, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session6_pvalsTh,0.050000, 0.049999, 0.000128, 0.000000, 0.010000, 0.000599, 0.000008, 0.000000, 0.001000, 0.000009, 0.000000, 0.000000
Session6_Th,0.024145, 0.024145, 0.074581, 0.123021, 0.037974, 0.061471, 0.098978, 0.153367, 0.057258, 0.098313, 0.120975, 0.177091
