, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session9_pvalsTh,0.050000, 0.049998, 0.000008, 0.000000, 0.010000, 0.000051, 0.000000, 0.000000, 0.001000, 0.000000, 0.000000, 0.000000
Session9_Th,0.024795, 0.024795, 0.096446, 0.129671, 0.038765, 0.081845, 0.143118, 0.139249, 0.057515, 0.143118, 0.145986, 0.145313
