subject	run	trial	texture	category	image	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp	Onsets	responseKey	responseTime	accuracy
130	6	1	14	kitchen	sun_aadbddgrdsjugojn.tif	17086.465024	17086.722886	17088.708828	26-Jun-2025 12:12:56	17082.441849	4.023175	none	NaN	NaN
130	6	2	31	kitchen	sun_aehawpgmrlhlvcow.tif	17088.714542	17088.973241	17090.958817	26-Jun-2025 12:12:56	17082.441849	6.272693	5	17091.960915	1.000000
130	6	3	58	kitchen	sun_aymvwlarqodbwuoc.tif	17097.989795	17098.248251	17100.234320	26-Jun-2025 12:12:56	17082.441849	15.547946	none	NaN	NaN
130	6	4	15	kitchen	sun_aamedkxepzlwuxes.tif	17100.247750	17100.506080	17102.491838	26-Jun-2025 12:12:56	17082.441849	17.805900	none	NaN	NaN
130	6	5	37	kitchen	sun_agorklincwxrdtga.tif	17102.506064	17102.764389	17104.750538	26-Jun-2025 12:12:56	17082.441849	20.064215	none	NaN	NaN
130	6	6	40	kitchen	sun_ahdycvpopffkzzsu.tif	17104.755973	17105.014377	17106.999991	26-Jun-2025 12:12:56	17082.441849	22.314124	none	NaN	NaN
130	6	7	49	kitchen	sun_akcjzhbbjlbogpdi.tif	17107.006004	17107.264351	17109.250573	26-Jun-2025 12:12:56	17082.441849	24.564155	5	17110.305978	0.000000
130	6	8	43	kitchen	sun_ahspylgoovwmwvgk.tif	17116.280938	17116.539191	17118.525211	26-Jun-2025 12:12:56	17082.441849	33.839089	none	NaN	NaN
130	6	9	12	kitchen	labelme_kxvouciolcpqplr.tif	17118.530898	17118.789246	17120.775119	26-Jun-2025 12:12:56	17082.441849	36.089049	none	NaN	NaN
130	6	10	19	kitchen	sun_abdenxonkemggwsq.tif	17120.780859	17121.039222	17123.025130	26-Jun-2025 12:12:56	17082.441849	38.339009	none	NaN	NaN
130	6	11	48	kitchen	sun_akchetnepxlcxhsu.tif	17123.030879	17123.289211	17125.275451	26-Jun-2025 12:12:56	17082.441849	40.589030	5	17126.678712	0.000000
130	6	12	56	kitchen	sun_awcpdzzznmweyyhv.tif	17132.297456	17132.556213	17134.541768	26-Jun-2025 12:12:56	17082.441849	49.855606	none	NaN	NaN
130	6	13	59	kitchen	sun_aypmqwcualkenuoe.tif	17134.556250	17134.814114	17136.800581	26-Jun-2025 12:12:56	17082.441849	52.114401	none	NaN	NaN
130	6	14	50	kitchen	sun_amjjdeyrggfqgmom.tif	17136.806121	17137.064572	17139.050559	26-Jun-2025 12:12:56	17082.441849	54.364272	none	NaN	NaN
130	6	15	39	kitchen	sun_agzzivivdpnawacl.tif	17139.055667	17139.314445	17141.300175	26-Jun-2025 12:12:56	17082.441849	56.613818	none	NaN	NaN
130	6	16	53	kitchen	sun_aunzlwrbjumxhwdj.tif	17141.314509	17141.572383	17143.558344	26-Jun-2025 12:12:56	17082.441849	58.872660	none	NaN	NaN
130	6	17	28	kitchen	sun_adgqasybjyktddhj.tif	17143.564035	17143.822857	17145.808233	26-Jun-2025 12:12:56	17082.441849	61.122186	6	17147.205919	1.000000
130	6	18	18	kitchen	sun_aaxxjlsuzvqlgylf.tif	17152.830883	17153.089398	17155.075031	26-Jun-2025 12:12:56	17082.441849	70.389034	none	NaN	NaN
130	6	19	21	kitchen	sun_abftihopvusyfakt.tif	17155.081046	17155.339384	17157.325063	26-Jun-2025 12:12:56	17082.441849	72.639197	none	NaN	NaN
130	6	20	55	kitchen	sun_avszsnwsbuqfgzbn.tif	17157.330512	17157.589365	17159.575147	26-Jun-2025 12:12:56	17082.441849	74.888663	5	17160.502043	1.000000
130	6	21	23	kitchen	sun_abrcnpqqhmjwekyf.tif	17166.605477	17166.863799	17168.849663	26-Jun-2025 12:12:56	17082.441849	84.163628	none	NaN	NaN
130	6	22	17	kitchen	sun_aarfiyshqohlwkmo.tif	17168.855448	17169.113781	17171.099682	26-Jun-2025 12:12:56	17082.441849	86.413598	none	NaN	NaN
130	6	23	36	kitchen	sun_aggjlwcdjsjcaemh.tif	17171.105396	17171.363761	17173.349475	26-Jun-2025 12:12:56	17082.441849	88.663547	none	NaN	NaN
130	6	24	24	kitchen	sun_acfmftudsenhrfhy.tif	17173.363742	17173.622033	17175.607919	26-Jun-2025 12:12:56	17082.441849	90.921892	none	NaN	NaN
130	6	25	16	kitchen	sun_aapllqyqlykszopd.tif	17175.613723	17175.872049	17177.857861	26-Jun-2025 12:12:56	17082.441849	93.171874	none	NaN	NaN
130	6	26	45	kitchen	sun_aixorpehvfykdynp.tif	17177.863660	17178.122032	17180.107918	26-Jun-2025 12:12:56	17082.441849	95.421811	none	NaN	NaN
130	6	27	20	kitchen	sun_abdxkyyxwfskuaqb.tif	17180.122027	17180.380341	17182.365962	26-Jun-2025 12:12:56	17082.441849	97.680178	none	NaN	NaN
130	6	28	25	kitchen	sun_acgtpgfybqjmzeyw.tif	17182.371989	17182.630320	17184.616152	26-Jun-2025 12:12:56	17082.441849	99.930139	none	NaN	NaN
130	6	29	44	kitchen	sun_ahywdevtimnqcsln.tif	17184.621956	17184.880300	17186.865782	26-Jun-2025 12:12:56	17082.441849	102.180107	none	NaN	NaN
130	6	30	35	kitchen	sun_afuyedyxivkhecmu.tif	17186.880276	17187.138608	17189.124636	26-Jun-2025 12:12:56	17082.441849	104.438427	6	17190.386809	1.000000
130	6	31	57	kitchen	sun_axyyrmzcupyhlivc.tif	17196.155163	17196.413899	17198.399754	26-Jun-2025 12:12:56	17082.441849	113.713314	none	NaN	NaN
130	6	32	41	kitchen	sun_ahljzhgcdpomplvg.tif	17198.405160	17198.663897	17200.649539	26-Jun-2025 12:12:56	17082.441849	115.963311	none	NaN	NaN
130	6	33	46	kitchen	sun_ajcbwwvdlsvjyzje.tif	17200.655150	17200.913867	17202.899425	26-Jun-2025 12:12:56	17082.441849	118.213301	none	NaN	NaN
130	6	34	32	kitchen	sun_aenotlpyftoioydp.tif	17202.905508	17203.163479	17205.149666	26-Jun-2025 12:12:56	17082.441849	120.463659	none	NaN	NaN
130	6	35	52	kitchen	sun_auaiucuqpdausiva.tif	17205.155111	17205.413461	17207.399066	26-Jun-2025 12:12:56	17082.441849	122.713262	none	NaN	NaN
130	6	36	22	kitchen	sun_abpwyqmlzafvklqo.tif	17207.405477	17207.663434	17209.649733	26-Jun-2025 12:12:56	17082.441849	124.963628	none	NaN	NaN
130	6	37	34	kitchen	sun_aexklacwqwezaorf.tif	17209.655074	17209.913911	17211.899446	26-Jun-2025 12:12:56	17082.441849	127.213224	none	NaN	NaN
130	6	38	51	kitchen	sun_aqeaevwwwjoqhzvl.tif	17211.905411	17212.163766	17214.149215	26-Jun-2025 12:12:56	17082.441849	129.463562	5	17215.225002	0.000000
130	6	39	60	kitchen	sun_azmutvzbxypaceni.tif	17221.179958	17221.438288	17223.424190	26-Jun-2025 12:12:56	17082.441849	138.738109	none	NaN	NaN
130	6	40	33	kitchen	sun_aeqdocilnnpuvuhx.tif	17223.429938	17223.688265	17225.674423	26-Jun-2025 12:12:56	17082.441849	140.988089	5	17226.986449	0.000000
130	6	41	27	kitchen	sun_acxkpeoqbwcxfvip.tif	17232.704971	17232.963187	17234.948968	26-Jun-2025 12:12:56	17082.441849	150.263122	none	NaN	NaN
130	6	42	13	kitchen	labelme_rykdqxenmhulbdn.tif	17234.963167	17235.221516	17237.207736	26-Jun-2025 12:12:56	17082.441849	152.521318	6	17238.274266	0.000000
130	6	43	30	kitchen	sun_aegoxogugdkwpmpj.tif	17244.238441	17244.496422	17246.482593	26-Jun-2025 12:12:56	17082.441849	161.796592	none	NaN	NaN
130	6	44	29	kitchen	sun_admlmbcdswaszruo.tif	17246.488014	17246.746404	17248.731994	26-Jun-2025 12:12:56	17082.441849	164.046165	none	NaN	NaN
130	6	45	11	kitchen	labelme_brsyyvweiuaazfr.tif	17248.738014	17248.996383	17250.981878	26-Jun-2025 12:12:56	17082.441849	166.296165	none	NaN	NaN
130	6	46	47	kitchen	sun_ajkqhtgcbgpcwrwn.tif	17250.988389	17251.246728	17253.232435	26-Jun-2025 12:12:56	17082.441849	168.546540	none	NaN	NaN
130	6	47	38	kitchen	sun_agubuxuukhzyzpdp.tif	17253.237955	17253.496714	17255.481734	26-Jun-2025 12:12:56	17082.441849	170.796106	none	NaN	NaN
130	6	48	54	kitchen	sun_auticobqsbwgoppi.tif	17255.488351	17255.746693	17257.732932	26-Jun-2025 12:12:56	17082.441849	173.046501	none	NaN	NaN
130	6	49	26	kitchen	sun_acwjdupvyjsugpay.tif	17257.738275	17257.996677	17259.982119	26-Jun-2025 12:12:56	17082.441849	175.296426	5	17261.409871	1.000000
130	6	50	42	kitchen	sun_ahpczsiumwwocjkv.tif	17266.996561	17267.254552	17269.240984	26-Jun-2025 12:12:56	17082.441849	184.554711	none	NaN	NaN
130	6	51	55	kitchen	sun_avszsnwsbuqfgzbn.tif	17269.246552	17269.504904	17271.490974	26-Jun-2025 12:12:56	17082.441849	186.804703	none	NaN	NaN
130	6	52	42	kitchen	sun_ahpczsiumwwocjkv.tif	17271.496168	17271.754876	17273.740105	26-Jun-2025 12:12:56	17082.441849	189.054319	none	NaN	NaN
130	6	53	33	kitchen	sun_aeqdocilnnpuvuhx.tif	17273.746501	17274.004853	17275.990641	26-Jun-2025 12:12:56	17082.441849	191.304651	5	17277.158698	1.000000
130	6	54	44	kitchen	sun_ahywdevtimnqcsln.tif	17283.021043	17283.279385	17285.265036	26-Jun-2025 12:12:56	17082.441849	200.579194	none	NaN	NaN
130	6	55	51	kitchen	sun_aqeaevwwwjoqhzvl.tif	17285.271018	17285.529371	17287.514858	26-Jun-2025 12:12:56	17082.441849	202.829169	none	NaN	NaN
130	6	56	31	kitchen	sun_aehawpgmrlhlvcow.tif	17287.521006	17287.779356	17289.764797	26-Jun-2025 12:12:56	17082.441849	205.079157	none	NaN	NaN
130	6	57	37	kitchen	sun_agorklincwxrdtga.tif	17289.770990	17290.029321	17292.014988	26-Jun-2025 12:12:56	17082.441849	207.329140	none	NaN	NaN
130	6	58	39	kitchen	sun_agzzivivdpnawacl.tif	17292.020975	17292.279299	17294.265148	26-Jun-2025 12:12:56	17082.441849	209.579125	none	NaN	NaN
130	6	59	24	kitchen	sun_acfmftudsenhrfhy.tif	17294.270876	17294.529312	17296.515431	26-Jun-2025 12:12:56	17082.441849	211.829027	none	NaN	NaN
130	6	60	17	kitchen	sun_aarfiyshqohlwkmo.tif	17296.520888	17296.779258	17298.765010	26-Jun-2025 12:12:56	17082.441849	214.079039	none	NaN	NaN
130	6	61	13	kitchen	labelme_rykdqxenmhulbdn.tif	17298.770882	17299.029254	17301.015023	26-Jun-2025 12:12:56	17082.441849	216.329032	none	NaN	NaN
130	6	62	34	kitchen	sun_aexklacwqwezaorf.tif	17301.020873	17301.279185	17303.265006	26-Jun-2025 12:12:56	17082.441849	218.579024	none	NaN	NaN
130	6	63	53	kitchen	sun_aunzlwrbjumxhwdj.tif	17303.270859	17303.529193	17305.514735	26-Jun-2025 12:12:56	17082.441849	220.829009	6	17306.566868	0.000000
130	6	64	41	kitchen	sun_ahljzhgcdpomplvg.tif	17312.537813	17312.796211	17314.781996	26-Jun-2025 12:12:56	17082.441849	230.095963	none	NaN	NaN
