subject	run	trial	texture	category	image	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp	Onsets	responseKey	responseTime	accuracy
128	9	1	11	bathroom	labelme_sfxiulhjbhlyiyt.tif	27815.831555	27816.090331	27818.075295	16-Jun-2025 15:09:50	27811.805000	4.026555	none	NaN	NaN
128	9	2	24	bathroom	sun_agrwbmhcpmfuwmsg.tif	27818.081923	27818.340405	27820.326306	16-Jun-2025 15:09:50	27811.805000	6.276922	none	NaN	NaN
128	9	3	60	bathroom	sun_azqyogdvyhahyram.tif	27820.331885	27820.590283	27822.576132	16-Jun-2025 15:09:50	27811.805000	8.526885	5	27823.298233	0.000000
128	9	4	19	bathroom	sun_aclfzgynxzxlbepz.tif	27829.607000	27829.864831	27831.850868	16-Jun-2025 15:09:50	27811.805000	17.801999	none	NaN	NaN
128	9	5	14	bathroom	sun_abapwbhyhkfixyex.tif	27831.865252	27832.123156	27834.109074	16-Jun-2025 15:09:50	27811.805000	20.060252	none	NaN	NaN
128	9	6	15	bathroom	sun_abjtwfukuwddzted.tif	27834.114752	27834.373142	27836.358980	16-Jun-2025 15:09:50	27811.805000	22.309752	none	NaN	NaN
128	9	7	21	bathroom	sun_aggnnqpdorgxpvce.tif	27836.365255	27836.623136	27838.609383	16-Jun-2025 15:09:50	27811.805000	24.560255	none	NaN	NaN
128	9	8	38	bathroom	sun_anhioqovhscjqqwb.tif	27838.614683	27838.873375	27840.858625	16-Jun-2025 15:09:50	27811.805000	26.809683	none	NaN	NaN
128	9	9	44	bathroom	sun_apkruvsevgegsdwp.tif	27840.864622	27841.122935	27843.108675	16-Jun-2025 15:09:50	27811.805000	29.059621	none	NaN	NaN
128	9	10	56	bathroom	sun_awnqiikzaispgmwo.tif	27843.122789	27843.381255	27845.366776	16-Jun-2025 15:09:50	27811.805000	31.317788	none	NaN	NaN
128	9	11	16	bathroom	sun_acduarbnmmoglmiv.tif	27845.372877	27845.631260	27847.616661	16-Jun-2025 15:09:50	27811.805000	33.567877	5	27848.372190	0.000000
128	9	12	45	bathroom	sun_apkxzenqapsujocq.tif	27854.639404	27854.897972	27856.883310	16-Jun-2025 15:09:50	27811.805000	42.834403	none	NaN	NaN
