subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp
017	08	1	32	bathroom	SHINEd_sun_aleqenyvunhactkl.tif	none	NaN	15168.835944	15169.094376	15171.082019	04-Dec-2024 12:25:34	15162.800669
017	08	2	24	bathroom	SHINEd_sun_agrwbmhcpmfuwmsg.tif	none	NaN	15171.095240	15171.352521	15173.341914	04-Dec-2024 12:25:34	15162.800669
017	08	3	21	bathroom	SHINEd_sun_aggnnqpdorgxpvce.tif	none	NaN	15173.352643	15173.611074	15175.598794	04-Dec-2024 12:25:34	15162.800669
017	08	4	13	bathroom	SHINEd_sun_aavhrsfjbserjtht.tif	none	NaN	15175.610903	15175.868914	15177.857268	04-Dec-2024 12:25:34	15162.800669
017	08	5	19	bathroom	SHINEd_sun_aclfzgynxzxlbepz.tif	none	NaN	15177.869376	15178.128045	15180.115566	04-Dec-2024 12:25:34	15162.800669
017	08	6	17	bathroom	SHINEd_sun_acegryoqftbzowsg.tif	none	NaN	15180.127822	15180.385554	15182.374071	04-Dec-2024 12:25:34	15162.800669
017	08	7	53	bathroom	SHINEd_sun_ausgutylgojavyoq.tif	none	NaN	15182.390626	15182.647412	15184.636846	04-Dec-2024 12:25:34	15162.800669
017	08	8	129	livingroom	SHINEd_livingroom_025.tif	5	15185.284323	15184.652181	15184.910977	15186.898365	04-Dec-2024 12:25:34	15162.800669
017	08	9	45	bathroom	SHINEd_sun_apkxzenqapsujocq.tif	none	NaN	15186.910489	15187.169410	15189.157147	04-Dec-2024 12:25:34	15162.800669
017	08	10	48	bathroom	SHINEd_sun_aqrpegblszgcoujh.tif	none	NaN	15189.169455	15189.427972	15191.415905	04-Dec-2024 12:25:34	15162.800669
017	08	11	11	bathroom	SHINEd_labelme_sfxiulhjbhlyiyt.tif	none	NaN	15191.427728	15191.685939	15193.674012	04-Dec-2024 12:25:34	15162.800669
017	08	12	56	bathroom	SHINEd_sun_awnqiikzaispgmwo.tif	none	NaN	15193.687080	15193.944414	15195.933120	04-Dec-2024 12:25:34	15162.800669
017	08	13	44	bathroom	SHINEd_sun_apkruvsevgegsdwp.tif	none	NaN	15195.944197	15196.202550	15198.190110	04-Dec-2024 12:25:34	15162.800669
017	08	14	59	bathroom	SHINEd_sun_axyrejkiiaqiurjk.tif	none	NaN	15198.202441	15198.460559	15200.448340	04-Dec-2024 12:25:34	15162.800669
017	08	15	116	livingroom	SHINEd_livingroom_007.tif	5	15201.398340	15200.460360	15200.719207	15202.706518	04-Dec-2024 12:25:34	15162.800669
017	08	16	43	bathroom	SHINEd_sun_apjevzvycyhuqghb.tif	none	NaN	15202.719031	15202.977787	15204.965670	04-Dec-2024 12:25:34	15162.800669
017	08	17	14	bathroom	SHINEd_sun_abapwbhyhkfixyex.tif	none	NaN	15204.977536	15205.236192	15207.223612	04-Dec-2024 12:25:34	15162.800669
017	08	18	60	bathroom	SHINEd_sun_azqyogdvyhahyram.tif	none	NaN	15207.235828	15207.494506	15209.482288	04-Dec-2024 12:25:34	15162.800669
017	08	19	124	livingroom	SHINEd_livingroom_019.tif	5	15210.287898	15209.495587	15209.752221	15211.741777	04-Dec-2024 12:25:34	15162.800669
017	08	20	31	bathroom	SHINEd_sun_akiytfaagpdsphgz.tif	none	NaN	15211.752575	15212.010256	15213.999177	04-Dec-2024 12:25:34	15162.800669
017	08	21	27	bathroom	SHINEd_sun_ahcvzmoyaycdoftf.tif	none	NaN	15214.010346	15214.268692	15216.256254	04-Dec-2024 12:25:34	15162.800669
017	08	22	12	bathroom	SHINEd_sun_aapitsgbtktqubfy.tif	none	NaN	15216.268416	15216.526923	15218.515042	04-Dec-2024 12:25:34	15162.800669
017	08	23	58	bathroom	SHINEd_sun_axxbkopsgyouuebh.tif	none	NaN	15218.527177	15218.785489	15220.773077	04-Dec-2024 12:25:34	15162.800669
017	08	24	35	bathroom	SHINEd_sun_alotolagknyrgtsk.tif	none	NaN	15220.785001	15221.044007	15223.031147	04-Dec-2024 12:25:34	15162.800669
017	08	25	46	bathroom	SHINEd_sun_apmqjbnwghzuhhzh.tif	none	NaN	15223.043452	15223.302205	15225.289324	04-Dec-2024 12:25:34	15162.800669
017	08	26	41	bathroom	SHINEd_sun_aoybiabnpadelefl.tif	none	NaN	15225.302342	15225.561097	15227.548655	04-Dec-2024 12:25:34	15162.800669
017	08	27	23	bathroom	SHINEd_sun_aghyqhbptboemmoq.tif	none	NaN	15227.560907	15227.818883	15229.807223	04-Dec-2024 12:25:34	15162.800669
017	08	28	54	bathroom	SHINEd_sun_auzqhkafidnkrwmo.tif	none	NaN	15229.818393	15230.077067	15232.064866	04-Dec-2024 12:25:34	15162.800669
017	08	29	133	livingroom	SHINEd_livingroom_031.tif	none	NaN	15232.077556	15232.335624	15234.323734	04-Dec-2024 12:25:34	15162.800669
017	08	30	39	bathroom	SHINEd_sun_anryaplzeujmzfkd.tif	none	NaN	15234.335027	15234.593349	15236.581584	04-Dec-2024 12:25:34	15162.800669
017	08	31	55	bathroom	SHINEd_sun_avhrdrntsqrjzccq.tif	none	NaN	15236.593343	15236.851854	15238.839686	04-Dec-2024 12:25:34	15162.800669
017	08	32	25	bathroom	SHINEd_sun_agyqfjcfkdcydepw.tif	5	15239.755683	15238.851660	15239.110047	15241.097528	04-Dec-2024 12:25:34	15162.800669
017	08	33	149	livingroom	SHINEd_livingroom_060.tif	none	NaN	15241.114129	15241.371056	15243.360206	04-Dec-2024 12:25:34	15162.800669
017	08	34	36	bathroom	SHINEd_sun_ambriybtogmepttm.tif	none	NaN	15243.369873	15243.631010	15245.616210	04-Dec-2024 12:25:34	15162.800669
017	08	35	22	bathroom	SHINEd_sun_agguqiubmwhqqunb.tif	none	NaN	15245.629428	15245.889757	15247.875324	04-Dec-2024 12:25:34	15162.800669
017	08	36	50	bathroom	SHINEd_sun_aspsyogrekjtfozg.tif	none	NaN	15247.895537	15248.154819	15250.141797	04-Dec-2024 12:25:34	15162.800669
017	08	37	40	bathroom	SHINEd_sun_aofnryafpsjimzsb.tif	none	NaN	15250.161983	15250.422021	15252.408636	04-Dec-2024 12:25:34	15162.800669
017	08	38	49	bathroom	SHINEd_sun_asfwthctfqerjvxr.tif	none	NaN	15252.423155	15252.688437	15254.669078	04-Dec-2024 12:25:34	15162.800669
017	08	39	38	bathroom	SHINEd_sun_anhioqovhscjqqwb.tif	none	NaN	15254.678900	15254.938663	15256.925163	04-Dec-2024 12:25:34	15162.800669
017	08	40	52	bathroom	SHINEd_sun_aunuadmjocsddsrl.tif	none	NaN	15256.938732	15257.195353	15259.185380	04-Dec-2024 12:25:34	15162.800669
017	08	41	26	bathroom	SHINEd_sun_ahaulkltgpkeeemi.tif	none	NaN	15259.195826	15259.453772	15261.441668	04-Dec-2024 12:25:34	15162.800669
017	08	42	141	livingroom	SHINEd_livingroom_048.tif	5	15261.955682	15261.454213	15261.714077	15263.700105	04-Dec-2024 12:25:34	15162.800669
017	08	43	16	bathroom	SHINEd_sun_acduarbnmmoglmiv.tif	none	NaN	15263.710241	15263.968462	15265.956848	04-Dec-2024 12:25:34	15162.800669
017	08	44	30	bathroom	SHINEd_sun_ajlawzvmubibwbpy.tif	none	NaN	15265.968541	15266.227063	15268.214995	04-Dec-2024 12:25:34	15162.800669
017	08	45	15	bathroom	SHINEd_sun_abjtwfukuwddzted.tif	none	NaN	15268.226878	15268.485044	15270.472851	04-Dec-2024 12:25:34	15162.800669
017	08	46	122	livingroom	SHINEd_livingroom_016.tif	none	NaN	15270.485431	15270.743310	15272.731454	04-Dec-2024 12:25:34	15162.800669
017	08	47	37	bathroom	SHINEd_sun_amzlamotzwfkwjco.tif	none	NaN	15272.743298	15273.002009	15274.989786	04-Dec-2024 12:25:34	15162.800669
017	08	48	51	bathroom	SHINEd_sun_atstyziqcmkahyxk.tif	none	NaN	15275.001600	15275.260218	15277.248322	04-Dec-2024 12:25:34	15162.800669
017	08	49	20	bathroom	SHINEd_sun_afcoljnjfoxjtgja.tif	none	NaN	15277.260169	15277.599259	15279.506893	04-Dec-2024 12:25:34	15162.800669
017	08	50	28	bathroom	SHINEd_sun_ahijqszoswveeyji.tif	none	NaN	15279.514004	15279.765878	15281.760592	04-Dec-2024 12:25:34	15162.800669
017	08	51	42	bathroom	SHINEd_sun_apeeialkgkuxddgh.tif	5	15282.836067	15281.767999	15282.020090	15284.013847	04-Dec-2024 12:25:34	15162.800669
017	08	52	34	bathroom	SHINEd_sun_alkosphxlxwjwgjd.tif	none	NaN	15284.020521	15284.273485	15286.267085	04-Dec-2024 12:25:34	15162.800669
017	08	53	142	livingroom	SHINEd_livingroom_049.tif	none	NaN	15286.273149	15286.525580	15288.519184	04-Dec-2024 12:25:34	15162.800669
