subject	run	trial	texture	category	image	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp	Onsets	responseKey	responseTime	accuracy
103	2	1	12	kitchen	labelme_kxvouciolcpqplr.tif	21490.413808	21490.667968	21492.657847	20-Mar-2025 16:46:10	21486.399594	4.014214	none	NaN	NaN
103	2	2	32	kitchen	sun_aenotlpyftoioydp.tif	21492.663405	21492.913656	21494.907769	20-Mar-2025 16:46:10	21486.399594	6.263811	none	NaN	NaN
103	2	3	30	kitchen	sun_aegoxogugdkwpmpj.tif	21494.914769	21495.168153	21497.159107	20-Mar-2025 16:46:10	21486.399594	8.515175	none	NaN	NaN
103	2	4	34	kitchen	sun_aexklacwqwezaorf.tif	21497.164597	21497.415399	21499.408824	20-Mar-2025 16:46:10	21486.399594	10.765003	5	21500.759110	1.000000
103	2	5	38	kitchen	sun_agubuxuukhzyzpdp.tif	21506.435686	21506.693993	21508.680102	20-Mar-2025 16:46:10	21486.399594	20.036092	none	NaN	NaN
103	2	6	35	kitchen	sun_afuyedyxivkhecmu.tif	21508.684467	21508.940061	21510.928825	20-Mar-2025 16:46:10	21486.399594	22.284873	none	NaN	NaN
103	2	7	23	kitchen	sun_abrcnpqqhmjwekyf.tif	21510.936193	21511.187789	21513.180046	20-Mar-2025 16:46:10	21486.399594	24.536599	none	NaN	NaN
103	2	8	49	kitchen	sun_akcjzhbbjlbogpdi.tif	21513.184449	21513.436779	21515.428512	20-Mar-2025 16:46:10	21486.399594	26.784855	none	NaN	NaN
103	2	9	25	kitchen	sun_acgtpgfybqjmzeyw.tif	21515.434196	21515.685923	21517.678277	20-Mar-2025 16:46:10	21486.399594	29.034602	none	NaN	NaN
103	2	10	42	kitchen	sun_ahpczsiumwwocjkv.tif	21517.683830	21517.934295	21519.927926	20-Mar-2025 16:46:10	21486.399594	31.284236	none	NaN	NaN
103	2	11	17	kitchen	sun_aarfiyshqohlwkmo.tif	21519.933710	21520.184256	21522.179579	20-Mar-2025 16:46:10	21486.399594	33.534116	none	NaN	NaN
103	2	12	39	kitchen	sun_agzzivivdpnawacl.tif	21522.184271	21522.435897	21524.428472	20-Mar-2025 16:46:10	21486.399594	35.784677	none	NaN	NaN
103	2	13	37	kitchen	sun_agorklincwxrdtga.tif	21524.434245	21524.691599	21526.678370	20-Mar-2025 16:46:10	21486.399594	38.034651	none	NaN	NaN
103	2	14	20	kitchen	sun_abdxkyyxwfskuaqb.tif	21526.684757	21526.938113	21528.928547	20-Mar-2025 16:46:10	21486.399594	40.285163	none	NaN	NaN
103	2	15	19	kitchen	sun_abdenxonkemggwsq.tif	21528.934076	21529.187444	21531.178665	20-Mar-2025 16:46:10	21486.399594	42.534482	none	NaN	NaN
103	2	16	16	kitchen	sun_aapllqyqlykszopd.tif	21531.183790	21531.439971	21533.430024	20-Mar-2025 16:46:10	21486.399594	44.784196	none	NaN	NaN
103	2	17	54	kitchen	sun_auticobqsbwgoppi.tif	21533.434662	21533.687977	21535.678620	20-Mar-2025 16:46:10	21486.399594	47.035068	none	NaN	NaN
103	2	18	40	kitchen	sun_ahdycvpopffkzzsu.tif	21535.684106	21535.936830	21537.928682	20-Mar-2025 16:46:10	21486.399594	49.284512	none	NaN	NaN
103	2	19	46	kitchen	sun_ajcbwwvdlsvjyzje.tif	21537.934391	21538.187040	21540.178790	20-Mar-2025 16:46:10	21486.399594	51.534797	6	21541.869036	0.000000
103	2	20	15	kitchen	sun_aamedkxepzlwuxes.tif	21547.194462	21547.448386	21549.438332	20-Mar-2025 16:46:10	21486.399594	60.794868	none	NaN	NaN
103	2	21	56	kitchen	sun_awcpdzzznmweyyhv.tif	21549.445112	21549.694966	21551.688952	20-Mar-2025 16:46:10	21486.399594	63.045518	none	NaN	NaN
