subject	run	trial	texture	category	image	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp	Onsets	responseKey	responseTime	accuracy
119	8	1	16	kitchen	sun_aapllqyqlykszopd.tif	19528.363024	19528.621302	19530.606928	14-May-2025 17:35:42	19524.339283	4.023741	none	NaN	NaN
119	8	2	41	kitchen	sun_ahljzhgcdpomplvg.tif	19530.612993	19530.871791	19532.856925	14-May-2025 17:35:42	19524.339283	6.273710	none	NaN	NaN
119	8	3	54	kitchen	sun_auticobqsbwgoppi.tif	19532.863297	19533.121368	19535.107551	14-May-2025 17:35:42	19524.339283	8.524015	none	NaN	NaN
119	8	4	59	kitchen	sun_aypmqwcualkenuoe.tif	19535.113326	19535.371827	19537.357768	14-May-2025 17:35:42	19524.339283	10.774044	none	NaN	NaN
119	8	5	31	kitchen	sun_aehawpgmrlhlvcow.tif	19537.371339	19537.630147	19539.615839	14-May-2025 17:35:42	19524.339283	13.032057	none	NaN	NaN
119	8	6	51	kitchen	sun_aqeaevwwwjoqhzvl.tif	19539.630125	19539.888574	19541.874311	14-May-2025 17:35:42	19524.339283	15.290842	none	NaN	NaN
119	8	7	35	kitchen	sun_afuyedyxivkhecmu.tif	19541.888438	19542.146293	19544.132540	14-May-2025 17:35:42	19524.339283	17.549155	none	NaN	NaN
119	8	8	33	kitchen	sun_aeqdocilnnpuvuhx.tif	19544.137850	19544.396687	19546.381967	14-May-2025 17:35:42	19524.339283	19.798568	none	NaN	NaN
119	8	9	30	kitchen	sun_aegoxogugdkwpmpj.tif	19546.388266	19546.646617	19548.632824	14-May-2025 17:35:42	19524.339283	22.048983	5	19549.991371	0.000000
119	8	10	36	kitchen	sun_aggjlwcdjsjcaemh.tif	19555.671124	19555.929799	19557.914987	14-May-2025 17:35:42	19524.339283	31.331842	none	NaN	NaN
119	8	11	15	kitchen	sun_aamedkxepzlwuxes.tif	19557.921684	19558.179868	19560.165639	14-May-2025 17:35:42	19524.339283	33.582401	none	NaN	NaN
119	8	12	48	kitchen	sun_akchetnepxlcxhsu.tif	19560.179280	19560.437679	19562.423809	14-May-2025 17:35:42	19524.339283	35.839997	none	NaN	NaN
119	8	13	27	kitchen	sun_acxkpeoqbwcxfvip.tif	19562.429318	19562.687660	19564.673160	14-May-2025 17:35:42	19524.339283	38.090036	5	19565.478990	1.000000
119	8	14	46	kitchen	sun_ajcbwwvdlsvjyzje.tif	19571.704382	19571.962612	19573.948609	14-May-2025 17:35:42	19524.339283	47.365100	none	NaN	NaN
119	8	15	34	kitchen	sun_aexklacwqwezaorf.tif	19573.962546	19574.220956	19576.206878	14-May-2025 17:35:42	19524.339283	49.623263	none	NaN	NaN
119	8	16	29	kitchen	sun_admlmbcdswaszruo.tif	19576.220888	19576.479224	19578.465148	14-May-2025 17:35:42	19524.339283	51.881605	none	NaN	NaN
119	8	17	39	kitchen	sun_agzzivivdpnawacl.tif	19578.470931	19578.729162	19580.715537	14-May-2025 17:35:42	19524.339283	54.131648	none	NaN	NaN
119	8	18	42	kitchen	sun_ahpczsiumwwocjkv.tif	19580.729173	19580.987553	19582.973517	14-May-2025 17:35:42	19524.339283	56.389890	none	NaN	NaN
119	8	19	43	kitchen	sun_ahspylgoovwmwvgk.tif	19582.979236	19583.237557	19585.223034	14-May-2025 17:35:42	19524.339283	58.639954	none	NaN	NaN
119	8	20	37	kitchen	sun_agorklincwxrdtga.tif	19585.229140	19585.487476	19587.473582	14-May-2025 17:35:42	19524.339283	60.889857	6	19589.057767	1.000000
119	8	21	18	kitchen	sun_aaxxjlsuzvqlgylf.tif	19594.512962	19594.771290	19596.757355	14-May-2025 17:35:42	19524.339283	70.173679	none	NaN	NaN
119	8	22	26	kitchen	sun_acwjdupvyjsugpay.tif	19596.770863	19597.029190	19599.014875	14-May-2025 17:35:42	19524.339283	72.431580	none	NaN	NaN
119	8	23	17	kitchen	sun_aarfiyshqohlwkmo.tif	19599.021300	19599.279174	19601.265581	14-May-2025 17:35:42	19524.339283	74.682017	5	19602.024519	1.000000
119	8	24	47	kitchen	sun_ajkqhtgcbgpcwrwn.tif	19608.295685	19608.554573	19610.539805	14-May-2025 17:35:42	19524.339283	83.956402	none	NaN	NaN
119	8	25	60	kitchen	sun_azmutvzbxypaceni.tif	19610.545684	19610.804439	19612.789862	14-May-2025 17:35:42	19524.339283	86.206402	none	NaN	NaN
119	8	26	55	kitchen	sun_avszsnwsbuqfgzbn.tif	19612.796099	19613.054530	19615.040302	14-May-2025 17:35:42	19524.339283	88.456816	5	19615.773603	1.000000
119	8	27	20	kitchen	sun_abdxkyyxwfskuaqb.tif	19622.078901	19622.337077	19624.322719	14-May-2025 17:35:42	19524.339283	97.739619	none	NaN	NaN
119	8	28	19	kitchen	sun_abdenxonkemggwsq.tif	19624.328854	19624.587179	19626.572826	14-May-2025 17:35:42	19524.339283	99.989571	none	NaN	NaN
119	8	29	14	kitchen	sun_aadbddgrdsjugojn.tif	19626.578808	19626.837149	19628.823194	14-May-2025 17:35:42	19524.339283	102.239525	none	NaN	NaN
119	8	30	22	kitchen	sun_abpwyqmlzafvklqo.tif	19628.828837	19629.087135	19631.073150	14-May-2025 17:35:42	19524.339283	104.489554	6	19632.172245	1.000000
119	8	31	21	kitchen	sun_abftihopvusyfakt.tif	19638.103826	19638.362008	19640.347756	14-May-2025 17:35:42	19524.339283	113.764544	none	NaN	NaN
119	8	32	58	kitchen	sun_aymvwlarqodbwuoc.tif	19640.353711	19640.611960	19642.597631	14-May-2025 17:35:42	19524.339283	116.014429	none	NaN	NaN
119	8	33	52	kitchen	sun_auaiucuqpdausiva.tif	19642.603688	19642.861894	19644.847714	14-May-2025 17:35:42	19524.339283	118.264406	none	NaN	NaN
119	8	34	25	kitchen	sun_acgtpgfybqjmzeyw.tif	19644.853666	19645.112037	19647.097796	14-May-2025 17:35:42	19524.339283	120.514384	none	NaN	NaN
119	8	35	50	kitchen	sun_amjjdeyrggfqgmom.tif	19647.103682	19647.361914	19649.348143	14-May-2025 17:35:42	19524.339283	122.764400	none	NaN	NaN
119	8	36	24	kitchen	sun_acfmftudsenhrfhy.tif	19649.353709	19649.611962	19651.597472	14-May-2025 17:35:42	19524.339283	125.014427	none	NaN	NaN
119	8	37	23	kitchen	sun_abrcnpqqhmjwekyf.tif	19651.604114	19651.862438	19653.848046	14-May-2025 17:35:42	19524.339283	127.264831	none	NaN	NaN
119	8	38	44	kitchen	sun_ahywdevtimnqcsln.tif	19653.853688	19654.112524	19656.097838	14-May-2025 17:35:42	19524.339283	129.514405	6	19657.213154	1.000000
119	8	39	56	kitchen	sun_awcpdzzznmweyyhv.tif	19663.128627	19663.386944	19665.373023	14-May-2025 17:35:42	19524.339283	138.789344	5	19666.209935	1.000000
119	8	40	53	kitchen	sun_aunzlwrbjumxhwdj.tif	19672.403513	19672.662378	19674.647736	14-May-2025 17:35:42	19524.339283	148.064231	none	NaN	NaN
119	8	41	49	kitchen	sun_akcjzhbbjlbogpdi.tif	19674.653493	19674.912365	19676.897972	14-May-2025 17:35:42	19524.339283	150.314210	none	NaN	NaN
