subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp
009	04	1	47	bathroom	SHINEd_sun_apynckhmoftszqoq.tif	none	NaN	21128.224172	21128.476392	21130.470336	13-Nov-2024 13:52:58	21122.203273
009	04	2	40	bathroom	SHINEd_sun_aofnryafpsjimzsb.tif	6	21131.271399	21130.476422	21130.729066	21132.722809	13-Nov-2024 13:52:58	21122.203273
009	04	3	32	bathroom	SHINEd_sun_aleqenyvunhactkl.tif	6	21133.510227	21132.730914	21132.983783	21134.977561	13-Nov-2024 13:52:58	21122.203273
009	04	4	45	bathroom	SHINEd_sun_apkxzenqapsujocq.tif	none	NaN	21134.983061	21135.237974	21137.229245	13-Nov-2024 13:52:58	21122.203273
009	04	5	37	bathroom	SHINEd_sun_amzlamotzwfkwjco.tif	none	NaN	21137.235326	21137.487424	21139.481693	13-Nov-2024 13:52:58	21122.203273
009	04	6	41	bathroom	SHINEd_sun_aoybiabnpadelefl.tif	6	21140.247329	21139.489527	21139.741791	21141.736023	13-Nov-2024 13:52:58	21122.203273
009	04	7	17	bathroom	SHINEd_sun_acegryoqftbzowsg.tif	none	NaN	21141.741728	21141.992882	21143.987992	13-Nov-2024 13:52:58	21122.203273
009	04	8	44	bathroom	SHINEd_sun_apkruvsevgegsdwp.tif	6	21145.047948	21143.993418	21144.244296	21146.239620	13-Nov-2024 13:52:58	21122.203273
009	04	9	28	bathroom	SHINEd_sun_ahijqszoswveeyji.tif	none	NaN	21146.247047	21146.499243	21148.493032	13-Nov-2024 13:52:58	21122.203273
009	04	10	38	bathroom	SHINEd_sun_anhioqovhscjqqwb.tif	none	NaN	21148.498754	21148.750524	21150.745327	13-Nov-2024 13:52:58	21122.203273
009	04	11	50	bathroom	SHINEd_sun_aspsyogrekjtfozg.tif	none	NaN	21150.751487	21151.004587	21152.997544	13-Nov-2024 13:52:58	21122.203273
009	04	12	14	bathroom	SHINEd_sun_abapwbhyhkfixyex.tif	5	21154.688505	21153.007265	21153.260472	21155.253614	13-Nov-2024 13:52:58	21122.203273
009	04	13	55	bathroom	SHINEd_sun_avhrdrntsqrjzccq.tif	5	21155.261555	21155.260551	21155.512601	21157.506688	13-Nov-2024 13:52:58	21122.203273
009	04	14	60	bathroom	SHINEd_sun_azqyogdvyhahyram.tif	5	21157.512601	21157.511637	21157.764060	21159.757498	13-Nov-2024 13:52:58	21122.203273
