subject	run	trial	texture	category	image	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp	Onsets	responseKey	responseTime	accuracy
109	6	1	14	kitchen	sun_aadbddgrdsjugojn.tif	32970.930171	32971.189065	32973.174099	10-Apr-2025 16:25:57	32966.907260	4.022911	none	NaN	NaN
109	6	2	31	kitchen	sun_aehawpgmrlhlvcow.tif	32973.188875	32973.447131	32975.432801	10-Apr-2025 16:25:57	32966.907260	6.281615	5	32977.837916	1.000000
109	6	3	58	kitchen	sun_aymvwlarqodbwuoc.tif	32982.480792	32982.738998	32984.725134	10-Apr-2025 16:25:57	32966.907260	15.573532	none	NaN	NaN
109	6	4	15	kitchen	sun_aamedkxepzlwuxes.tif	32984.738200	32984.997267	32986.982484	10-Apr-2025 16:25:57	32966.907260	17.830940	none	NaN	NaN
109	6	5	37	kitchen	sun_agorklincwxrdtga.tif	32986.997097	32987.255075	32989.241265	10-Apr-2025 16:25:57	32966.907260	20.089837	none	NaN	NaN
109	6	6	40	kitchen	sun_ahdycvpopffkzzsu.tif	32989.255306	32989.513966	32991.499348	10-Apr-2025 16:25:57	32966.907260	22.348046	none	NaN	NaN
109	6	7	49	kitchen	sun_akcjzhbbjlbogpdi.tif	32991.513845	32991.772079	32993.757784	10-Apr-2025 16:25:57	32966.907260	24.606585	6	32996.484657	1.000000
109	6	8	43	kitchen	sun_ahspylgoovwmwvgk.tif	33000.796715	33001.057037	33003.040689	10-Apr-2025 16:25:57	32966.907260	33.889455	none	NaN	NaN
109	6	9	12	kitchen	labelme_kxvouciolcpqplr.tif	33003.055294	33003.313490	33005.299396	10-Apr-2025 16:25:57	32966.907260	36.148034	none	NaN	NaN
109	6	10	19	kitchen	sun_abdenxonkemggwsq.tif	33005.313470	33005.571685	33007.557725	10-Apr-2025 16:25:57	32966.907260	38.406210	none	NaN	NaN
109	6	11	48	kitchen	sun_akchetnepxlcxhsu.tif	33007.571676	33007.829993	33009.815867	10-Apr-2025 16:25:57	32966.907260	40.664416	6	33011.979253	1.000000
109	6	12	56	kitchen	sun_awcpdzzznmweyyhv.tif	33016.855163	33017.113397	33019.099655	10-Apr-2025 16:25:57	32966.907260	49.947903	none	NaN	NaN
109	6	13	59	kitchen	sun_aypmqwcualkenuoe.tif	33019.113596	33019.371686	33021.357529	10-Apr-2025 16:25:57	32966.907260	52.206336	none	NaN	NaN
109	6	14	50	kitchen	sun_amjjdeyrggfqgmom.tif	33021.371660	33021.630125	33023.615507	10-Apr-2025 16:25:57	32966.907260	54.464400	none	NaN	NaN
109	6	15	39	kitchen	sun_agzzivivdpnawacl.tif	33023.629754	33023.888297	33025.874218	10-Apr-2025 16:25:57	32966.907260	56.722494	none	NaN	NaN
109	6	16	53	kitchen	sun_aunzlwrbjumxhwdj.tif	33025.888178	33026.146632	33028.132696	10-Apr-2025 16:25:57	32966.907260	58.980918	none	NaN	NaN
