, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session10_pvalsTh,0.050000, 0.049998, NaN, 0.000000, 0.010000, 0.000002, NaN, 0.000000, 0.001000, NaN, NaN, 0.000000
Session10_Th,0.024017, 0.024017, NaN, 0.123956, 0.037593, 0.105531, NaN, 0.135889, 0.056131, NaN, NaN, 0.138098
