, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session7_pvalsTh,0.050000, 0.049999, 0.000074, 0.000000, 0.010000, 0.000537, 0.000001, 0.000000, 0.001000, 0.000001, 0.000000, 0.000000
Session7_Th,0.023775, 0.023775, 0.077034, 0.116622, 0.037204, 0.060747, 0.108058, 0.132651, 0.055842, 0.108058, 0.146308, 0.144943
