, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session6_pvalsTh,0.050000, 0.049993, 0.000166, 0.000000, 0.010000, 0.000851, 0.000001, 0.000000, 0.001000, 0.000001, NaN, 0.000000
Session6_Th,0.023406, 0.023407, 0.064619, 0.109472, 0.036070, 0.053605, 0.102605, 0.118501, 0.052486, 0.102605, NaN, 0.124942
