, none_0.05, pID_0.05, pN_0.05, bonf_0.05, none_0.01, pID_0.01, pN_0.01, bonf_0.01, none_0.001, pID_0.001, pN_0.001, bonf_0.001
Session1_pvalsTh,0.050000, 0.049996, 0.001137, 0.000000, 0.010000, 0.004408, 0.000070, 0.000000, 0.001000, 0.000095, 0.000001, 0.000000
Session1_Th,0.024368, 0.024369, 0.058342, 0.144075, 0.038850, 0.046170, 0.084109, 0.184463, 0.059586, 0.081526, 0.125852, 0.207837
