subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp
013	10	1	15	bathroom	SHINEd_sun_abjtwfukuwddzted.tif	none		19798.360253	19798.611609	19800.606491	22-Nov-2024 15:29:44	19792.339868
013	10	2	23	bathroom	SHINEd_sun_aghyqhbptboemmoq.tif	none		19800.611626	19800.862678	19802.857574	22-Nov-2024 15:29:44	19792.339868
013	10	3	37	bathroom	SHINEd_sun_amzlamotzwfkwjco.tif	none		19802.864422	19803.116316	19805.110895	22-Nov-2024 15:29:44	19792.339868
013	10	4	47	bathroom	SHINEd_sun_apynckhmoftszqoq.tif	none		19805.116887	19805.368071	19807.362874	22-Nov-2024 15:29:44	19792.339868
013	10	5	53	bathroom	SHINEd_sun_ausgutylgojavyoq.tif	none		19807.368876	19807.620532	19809.615068	22-Nov-2024 15:29:44	19792.339868
013	10	6	152	livingroom	SHINEd_livingroom_073.tif	6	19810.323716	19809.622129	19809.87398	19811.868071	22-Nov-2024 15:29:44	19792.339868
013	10	7	33	bathroom	SHINEd_sun_aljolscmmzydegqp.tif	none		19811.873717	19812.1257	19814.11985	22-Nov-2024 15:29:44	19792.339868
013	10	8	12	bathroom	SHINEd_sun_aapitsgbtktqubfy.tif	none		19814.126765	19814.378171	19816.372631	22-Nov-2024 15:29:44	19792.339868
013	10	9	46	bathroom	SHINEd_sun_apmqjbnwghzuhhzh.tif	none		19816.379879	19816.632783	19818.626269	22-Nov-2024 15:29:44	19792.339868
013	10	10	39	bathroom	SHINEd_sun_anryaplzeujmzfkd.tif	none		19818.631801	19818.883587	19820.878378	22-Nov-2024 15:29:44	19792.339868
013	10	11	59	bathroom	SHINEd_sun_axyrejkiiaqiurjk.tif	none		19820.883839	19821.135295	19823.130284	22-Nov-2024 15:29:44	19792.339868
013	10	12	19	bathroom	SHINEd_sun_aclfzgynxzxlbepz.tif	none		19823.137989	19823.39062	19825.384709	22-Nov-2024 15:29:44	19792.339868
013	10	13	121	livingroom	SHINEd_livingroom_014.tif	none		19825.390658	19825.643157	19827.637381	22-Nov-2024 15:29:44	19792.339868
013	10	14	28	bathroom	SHINEd_sun_ahijqszoswveeyji.tif	none		19827.642678	19827.893959	19829.888824	22-Nov-2024 15:29:44	19792.339868
013	10	15	14	bathroom	SHINEd_sun_abapwbhyhkfixyex.tif	none		19829.895606	19830.148659	19832.142187	22-Nov-2024 15:29:44	19792.339868
013	10	16	13	bathroom	SHINEd_sun_aavhrsfjbserjtht.tif	none		19832.147188	19832.398395	19834.393126	22-Nov-2024 15:29:44	19792.339868
013	10	17	34	bathroom	SHINEd_sun_alkosphxlxwjwgjd.tif	none		19834.398743	19834.649976	19836.645367	22-Nov-2024 15:29:44	19792.339868
013	10	18	43	bathroom	SHINEd_sun_apjevzvycyhuqghb.tif	none		19836.653092	19836.904363	19838.899729	22-Nov-2024 15:29:44	19792.339868
013	10	19	49	bathroom	SHINEd_sun_asfwthctfqerjvxr.tif	none		19838.905992	19839.157098	19841.152453	22-Nov-2024 15:29:44	19792.339868
013	10	20	17	bathroom	SHINEd_sun_acegryoqftbzowsg.tif	none		19841.159747	19841.41263	19843.40619	22-Nov-2024 15:29:44	19792.339868
013	10	21	20	bathroom	SHINEd_sun_afcoljnjfoxjtgja.tif	none		19843.411143	19843.662213	19845.657719	22-Nov-2024 15:29:44	19792.339868
013	10	22	44	bathroom	SHINEd_sun_apkruvsevgegsdwp.tif	none		19845.663898	19845.916531	19847.910568	22-Nov-2024 15:29:44	19792.339868
013	10	23	136	livingroom	SHINEd_livingroom_037.tif	none		19847.917506	19848.168962	19850.163626	22-Nov-2024 15:29:44	19792.339868
013	10	24	29	bathroom	SHINEd_sun_ahqjwnzgolcaoidx.tif	none		19850.168948	19850.420011	19852.415089	22-Nov-2024 15:29:44	19792.339868
013	10	25	55	bathroom	SHINEd_sun_avhrdrntsqrjzccq.tif	none		19852.421054	19852.674038	19854.66744	22-Nov-2024 15:29:44	19792.339868
013	10	26	25	bathroom	SHINEd_sun_agyqfjcfkdcydepw.tif	none		19854.675031	19854.927214	19856.921422	22-Nov-2024 15:29:44	19792.339868
013	10	27	38	bathroom	SHINEd_sun_anhioqovhscjqqwb.tif	none		19856.927527	19857.178758	19859.173578	22-Nov-2024 15:29:44	19792.339868
013	10	28	40	bathroom	SHINEd_sun_aofnryafpsjimzsb.tif	none		19859.178898	19859.43127	19861.425024	22-Nov-2024 15:29:44	19792.339868
013	10	29	145	livingroom	SHINEd_livingroom_054.tif	6	19862.216086	19861.430386	19861.682074	19863.676341	22-Nov-2024 15:29:44	19792.339868
013	10	30	41	bathroom	SHINEd_sun_aoybiabnpadelefl.tif	none		19863.684482	19863.935808	19865.931157	22-Nov-2024 15:29:44	19792.339868
013	10	31	57	bathroom	SHINEd_sun_axldvoqbuvuggfmq.tif	none		19865.936156	19866.187831	19868.182075	22-Nov-2024 15:29:44	19792.339868
013	10	32	24	bathroom	SHINEd_sun_agrwbmhcpmfuwmsg.tif	none		19868.187102	19868.43877	19870.433566	22-Nov-2024 15:29:44	19792.339868
013	10	33	30	bathroom	SHINEd_sun_ajlawzvmubibwbpy.tif	none		19870.443528	19870.695938	19872.689678	22-Nov-2024 15:29:44	19792.339868
013	10	34	149	livingroom	SHINEd_livingroom_060.tif	6	19873.891753	19872.694902	19872.947509	19874.941053	22-Nov-2024 15:29:44	19792.339868
013	10	35	26	bathroom	SHINEd_sun_ahaulkltgpkeeemi.tif	none		19874.946183	19875.197327	19877.192221	22-Nov-2024 15:29:44	19792.339868
013	10	36	21	bathroom	SHINEd_sun_aggnnqpdorgxpvce.tif	none		19877.200323	19877.45145	19879.446527	22-Nov-2024 15:29:44	19792.339868
013	10	37	120	livingroom	SHINEd_livingroom_013.tif	none		19879.45163	19879.70597	19881.698257	22-Nov-2024 15:29:44	19792.339868
013	10	38	42	bathroom	SHINEd_sun_apeeialkgkuxddgh.tif	none		19881.70489	19881.956399	19883.951329	22-Nov-2024 15:29:44	19792.339868
013	10	39	27	bathroom	SHINEd_sun_ahcvzmoyaycdoftf.tif	none		19883.960299	19884.213866	19886.20691	22-Nov-2024 15:29:44	19792.339868
013	10	40	22	bathroom	SHINEd_sun_agguqiubmwhqqunb.tif	none		19886.213006	19886.465027	19888.45906	22-Nov-2024 15:29:44	19792.339868
013	10	41	31	bathroom	SHINEd_sun_akiytfaagpdsphgz.tif	none		19888.464496	19888.716411	19890.71085	22-Nov-2024 15:29:44	19792.339868
013	10	42	58	bathroom	SHINEd_sun_axxbkopsgyouuebh.tif	none		19890.717521	19890.969124	19892.963449	22-Nov-2024 15:29:44	19792.339868
013	10	43	36	bathroom	SHINEd_sun_ambriybtogmepttm.tif	none		19892.968869	19893.220976	19895.214836	22-Nov-2024 15:29:44	19792.339868
013	10	44	126	livingroom	SHINEd_livingroom_022.tif	6	19896.260999	19895.219917	19895.471777	19897.466075	22-Nov-2024 15:29:44	19792.339868
013	10	45	50	bathroom	SHINEd_sun_aspsyogrekjtfozg.tif	none		19897.471074	19897.722839	19899.717078	22-Nov-2024 15:29:44	19792.339868
013	10	46	11	bathroom	SHINEd_labelme_sfxiulhjbhlyiyt.tif	none		19899.72349	19899.975027	19901.969407	22-Nov-2024 15:29:44	19792.339868
013	10	47	48	bathroom	SHINEd_sun_aqrpegblszgcoujh.tif	none		19901.97522	19902.226673	19904.221797	22-Nov-2024 15:29:44	19792.339868
013	10	48	52	bathroom	SHINEd_sun_aunuadmjocsddsrl.tif	none		19904.230924	19904.482207	19906.47752	22-Nov-2024 15:29:44	19792.339868
013	10	49	32	bathroom	SHINEd_sun_aleqenyvunhactkl.tif	none		19906.483046	19906.733894	19908.729352	22-Nov-2024 15:29:44	19792.339868
013	10	50	132	livingroom	SHINEd_livingroom_030.tif	6	19909.331156	19908.734351	19908.985772	19910.980649	22-Nov-2024 15:29:44	19792.339868
013	10	51	60	bathroom	SHINEd_sun_azqyogdvyhahyram.tif	none		19910.989125	19911.239998	19913.235024	22-Nov-2024 15:29:44	19792.339868
013	10	52	51	bathroom	SHINEd_sun_atstyziqcmkahyxk.tif	none		19913.239881	19913.492078	19915.486587	22-Nov-2024 15:29:44	19792.339868
013	10	53	54	bathroom	SHINEd_sun_auzqhkafidnkrwmo.tif	none		19915.492606	19915.743342	19917.738478	22-Nov-2024 15:29:44	19792.339868
013	10	54	45	bathroom	SHINEd_sun_apkxzenqapsujocq.tif	none		19917.746623	19917.998439	19919.992818	22-Nov-2024 15:29:44	19792.339868
013	10	55	18	bathroom	SHINEd_sun_acgyywnybuveqsro.tif	none		19919.998388	19920.250017	19922.244681	22-Nov-2024 15:29:44	19792.339868
013	10	56	16	bathroom	SHINEd_sun_acduarbnmmoglmiv.tif	none		19922.250209	19922.502094	19924.496136	22-Nov-2024 15:29:44	19792.339868
013	10	57	35	bathroom	SHINEd_sun_alotolagknyrgtsk.tif	none		19924.502301	19924.753632	19926.748436	22-Nov-2024 15:29:44	19792.339868
013	10	58	56	bathroom	SHINEd_sun_awnqiikzaispgmwo.tif	none		19926.7539	19927.006209	19929.000564	22-Nov-2024 15:29:44	19792.339868
013	10	59	108	kitchen	SHINEd_sun_aymvwlarqodbwuoc.tif	none		19935.016847	19935.268742	19937.26293	22-Nov-2024 15:29:44	19792.339868
013	10	60	66	kitchen	SHINEd_sun_aapllqyqlykszopd.tif	none		19937.268147	19937.519613	19939.514342	22-Nov-2024 15:29:44	19792.339868
013	10	61	95	kitchen	SHINEd_sun_aixorpehvfykdynp.tif	none		19939.519487	19939.770978	19941.765818	22-Nov-2024 15:29:44	19792.339868
013	10	62	102	kitchen	SHINEd_sun_auaiucuqpdausiva.tif	none		19941.770778	19942.022639	19944.016997	22-Nov-2024 15:29:44	19792.339868
013	10	63	90	kitchen	SHINEd_sun_ahdycvpopffkzzsu.tif	none		19944.022613	19944.274541	19946.269122	22-Nov-2024 15:29:44	19792.339868
013	10	64	63	kitchen	SHINEd_labelme_rykdqxenmhulbdn.tif	none		19946.277144	19946.528303	19948.523935	22-Nov-2024 15:29:44	19792.339868
013	10	65	64	kitchen	SHINEd_sun_aadbddgrdsjugojn.tif	none		19948.529241	19948.780959	19950.775478	22-Nov-2024 15:29:44	19792.339868
013	10	66	114	livingroom	SHINEd_livingroom_005.tif	none		19950.781179	19951.032513	19953.027254	22-Nov-2024 15:29:44	19792.339868
013	10	67	84	kitchen	SHINEd_sun_aexklacwqwezaorf.tif	none		19953.036338	19953.287792	19955.282791	22-Nov-2024 15:29:44	19792.339868
013	10	68	105	kitchen	SHINEd_sun_avszsnwsbuqfgzbn.tif	none		19955.288787	19955.541009	19957.535284	22-Nov-2024 15:29:44	19792.339868
013	10	69	61	kitchen	SHINEd_labelme_brsyyvweiuaazfr.tif	none		19957.542071	19957.793342	19959.788651	22-Nov-2024 15:29:44	19792.339868
013	10	70	100	kitchen	SHINEd_sun_amjjdeyrggfqgmom.tif	none		19959.794016	19960.045628	19962.040304	22-Nov-2024 15:29:44	19792.339868
013	10	71	160	livingroom	SHINEd_livingroom_62.tif	none		19962.046763	19962.298393	19964.293278	22-Nov-2024 15:29:44	19792.339868
013	10	72	82	kitchen	SHINEd_sun_aenotlpyftoioydp.tif	none		19964.300615	19964.552373	19966.546797	22-Nov-2024 15:29:44	19792.339868
013	10	73	81	kitchen	SHINEd_sun_aehawpgmrlhlvcow.tif	none		19966.551841	19966.803132	19968.798217	22-Nov-2024 15:29:44	19792.339868
013	10	74	74	kitchen	SHINEd_sun_acfmftudsenhrfhy.tif	none		19968.804498	19969.057632	19971.051017	22-Nov-2024 15:29:44	19792.339868
013	10	75	94	kitchen	SHINEd_sun_ahywdevtimnqcsln.tif	none		19971.056202	19971.308082	19973.302438	22-Nov-2024 15:29:44	19792.339868
013	10	76	89	kitchen	SHINEd_sun_agzzivivdpnawacl.tif	none		19973.307983	19973.559793	19975.553954	22-Nov-2024 15:29:44	19792.339868
013	10	77	65	kitchen	SHINEd_sun_aamedkxepzlwuxes.tif	none		19975.559282	19975.810769	19977.805725	22-Nov-2024 15:29:44	19792.339868
013	10	78	72	kitchen	SHINEd_sun_abpwyqmlzafvklqo.tif	none		19977.810821	19978.062114	19980.056988	22-Nov-2024 15:29:44	19792.339868
013	10	79	68	kitchen	SHINEd_sun_aaxxjlsuzvqlgylf.tif	6	19980.915991	19980.067258	19980.318515	19982.313466	22-Nov-2024 15:29:44	19792.339868
013	10	80	119	livingroom	SHINEd_livingroom_012.tif	none		19982.318832	19982.570235	19984.565339	22-Nov-2024 15:29:44	19792.339868
013	10	81	67	kitchen	SHINEd_sun_aarfiyshqohlwkmo.tif	none		19984.570392	19984.821757	19986.816788	22-Nov-2024 15:29:44	19792.339868
013	10	82	110	kitchen	SHINEd_sun_azmutvzbxypaceni.tif	none		19986.82467	19987.076199	19989.071053	22-Nov-2024 15:29:44	19792.339868
013	10	83	92	kitchen	SHINEd_sun_ahpczsiumwwocjkv.tif	none		19989.077051	19989.32866	19991.323532	22-Nov-2024 15:29:44	19792.339868
013	10	84	147	livingroom	SHINEd_livingroom_057.tif	none		19991.32858	19991.57962	19993.574799	22-Nov-2024 15:29:44	19792.339868
013	10	85	85	kitchen	SHINEd_sun_afuyedyxivkhecmu.tif	none		19993.579918	19993.833018	19995.826044	22-Nov-2024 15:29:44	19792.339868
013	10	86	80	kitchen	SHINEd_sun_aegoxogugdkwpmpj.tif	none		19995.832518	19996.083426	19998.079142	22-Nov-2024 15:29:44	19792.339868
013	10	87	101	kitchen	SHINEd_sun_aqeaevwwwjoqhzvl.tif	none		19998.084834	19998.336816	20000.330916	22-Nov-2024 15:29:44	19792.339868
013	10	88	76	kitchen	SHINEd_sun_acwjdupvyjsugpay.tif	none		20000.339925	20000.59171	20002.586601	22-Nov-2024 15:29:44	19792.339868
013	10	89	99	kitchen	SHINEd_sun_akcjzhbbjlbogpdi.tif	none		20002.591673	20002.844045	20004.838212	22-Nov-2024 15:29:44	19792.339868
013	10	90	156	livingroom	SHINEd_livingroom_088.tif	none		20004.84615	20005.098391	20007.092487	22-Nov-2024 15:29:44	19792.339868
013	10	91	62	kitchen	SHINEd_labelme_kxvouciolcpqplr.tif	none		20007.098154	20007.350112	20009.344643	22-Nov-2024 15:29:44	19792.339868
013	10	92	97	kitchen	SHINEd_sun_ajkqhtgcbgpcwrwn.tif	none		20009.350002	20009.601494	20011.596212	22-Nov-2024 15:29:44	19792.339868
