subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp
005	07	1	109	kitchen	SHINEd_sun_aypmqwcualkenuoe.tif	none	NaN	18805.537759	18805.790130	18807.783982	22-Nov-2024 15:13:11	18799.515469
005	07	2	100	kitchen	SHINEd_sun_amjjdeyrggfqgmom.tif	none	NaN	18807.790663	18808.042712	18810.037074	22-Nov-2024 15:13:11	18799.515469
005	07	3	86	kitchen	SHINEd_sun_aggjlwcdjsjcaemh.tif	none	NaN	18810.043420	18810.294957	18812.289530	22-Nov-2024 15:13:11	18799.515469
005	07	4	94	kitchen	SHINEd_sun_ahywdevtimnqcsln.tif	none	NaN	18812.295055	18812.546354	18814.541712	22-Nov-2024 15:13:11	18799.515469
005	07	5	70	kitchen	SHINEd_sun_abdxkyyxwfskuaqb.tif	none	NaN	18814.549990	18814.801710	18816.796504	22-Nov-2024 15:13:11	18799.515469
005	07	6	123	livingroom	SHINEd_livingroom_018.tif	5	18817.517670	18816.807851	18817.059171	18819.053961	22-Nov-2024 15:13:11	18799.515469
005	07	7	97	kitchen	SHINEd_sun_ajkqhtgcbgpcwrwn.tif	none	NaN	18819.058938	18819.310433	18821.305458	22-Nov-2024 15:13:11	18799.515469
005	07	8	108	kitchen	SHINEd_sun_aymvwlarqodbwuoc.tif	none	NaN	18821.310682	18821.562039	18823.556550	22-Nov-2024 15:13:11	18799.515469
005	07	9	66	kitchen	SHINEd_sun_aapllqyqlykszopd.tif	none	NaN	18823.562980	18823.814094	18825.809415	22-Nov-2024 15:13:11	18799.515469
005	07	10	81	kitchen	SHINEd_sun_aehawpgmrlhlvcow.tif	none	NaN	18825.814799	18826.065839	18828.061161	22-Nov-2024 15:13:11	18799.515469
005	07	11	89	kitchen	SHINEd_sun_agzzivivdpnawacl.tif	none	NaN	18828.069181	18828.321878	18830.315264	22-Nov-2024 15:13:11	18799.515469
005	07	12	104	kitchen	SHINEd_sun_auticobqsbwgoppi.tif	none	NaN	18830.323830	18830.576265	18832.570031	22-Nov-2024 15:13:11	18799.515469
005	07	13	69	kitchen	SHINEd_sun_abdenxonkemggwsq.tif	none	NaN	18832.575486	18832.827110	18834.821468	22-Nov-2024 15:13:11	18799.515469
005	07	14	107	kitchen	SHINEd_sun_axyyrmzcupyhlivc.tif	none	NaN	18834.828552	18835.079216	18837.074734	22-Nov-2024 15:13:11	18799.515469
005	07	15	132	livingroom	SHINEd_livingroom_030.tif	5	18837.702790	18837.079667	18837.331438	18839.326356	22-Nov-2024 15:13:11	18799.515469
