subject	run	trial	texture	category	image	responseKey	responseTime	trialOnset	itiOnset	trialEnd	triggerDate	triggerTimeStamp
092	07	1	109	kitchen	SHINEd_sun_aypmqwcualkenuoe.tif	none	NaN	1403961.206278	1403961.450692	1403963.448019	03-Nov-2024 14:23:36	1403955.190698
092	07	2	100	kitchen	SHINEd_sun_amjjdeyrggfqgmom.tif	none	NaN	1403963.454271	1403963.698903	1403965.696020	03-Nov-2024 14:23:36	1403955.190698
092	07	3	86	kitchen	SHINEd_sun_aggjlwcdjsjcaemh.tif	none	NaN	1403965.701829	1403965.946614	1403967.943622	03-Nov-2024 14:23:36	1403955.190698
092	07	4	94	kitchen	SHINEd_sun_ahywdevtimnqcsln.tif	none	NaN	1403967.950308	1403968.194783	1403970.192118	03-Nov-2024 14:23:36	1403955.190698
092	07	5	70	kitchen	SHINEd_sun_abdxkyyxwfskuaqb.tif	none	NaN	1403970.200199	1403970.444832	1403972.442021	03-Nov-2024 14:23:36	1403955.190698
092	07	6	123	livingroom	SHINEd_livingroom_018.tif	none	NaN	1403972.448196	1403972.692765	1403974.689871	03-Nov-2024 14:23:36	1403955.190698
092	07	7	97	kitchen	SHINEd_sun_ajkqhtgcbgpcwrwn.tif	none	NaN	1403974.694943	1403974.942076	1403976.936736	03-Nov-2024 14:23:36	1403955.190698
092	07	8	108	kitchen	SHINEd_sun_aymvwlarqodbwuoc.tif	none	NaN	1403976.941422	1403977.185376	1403979.183270	03-Nov-2024 14:23:36	1403955.190698
092	07	9	66	kitchen	SHINEd_sun_aapllqyqlykszopd.tif	none	NaN	1403979.188100	1403979.432162	1403981.429810	03-Nov-2024 14:23:36	1403955.190698
092	07	10	81	kitchen	SHINEd_sun_aehawpgmrlhlvcow.tif	none	NaN	1403981.434711	1403981.678785	1403983.676461	03-Nov-2024 14:23:36	1403955.190698
092	07	11	89	kitchen	SHINEd_sun_agzzivivdpnawacl.tif	none	NaN	1403983.681788	1403983.925702	1403985.923645	03-Nov-2024 14:23:36	1403955.190698
